iter	Logloss
0	0.6798227291
1	0.66780838
2	0.6553002791
3	0.6435910432
4	0.6326850277
5	0.6225822546
6	0.6128741876
7	0.6048572382
8	0.5958847481
9	0.5871696441
10	0.5792007407
11	0.5713098509
12	0.5643833519
13	0.5569418408
14	0.5502712175
15	0.5441585624
16	0.538110909
17	0.5324322255
18	0.5268003321
19	0.5219834919
20	0.51724438
21	0.512802625
22	0.5087265789
23	0.5043326034
24	0.5002044768
25	0.4966418511
26	0.4925038099
27	0.4890516624
28	0.4860669952
29	0.4834743776
30	0.4807736649
31	0.4779702037
32	0.4753306504
33	0.4721805177
34	0.4696705683
35	0.4672553094
36	0.4647928077
37	0.4627877223
38	0.4605262956
39	0.4590411812
40	0.4567017006
41	0.4543812455
42	0.4522152057
43	0.4502930536
44	0.4486923102
45	0.4470583439
46	0.4455319944
47	0.4437892899
48	0.4428624117
49	0.4412781107
50	0.4397895089
51	0.4384338958
52	0.4371854453
53	0.4364054615
54	0.4352184
55	0.4337720704
56	0.4324514878
57	0.4314456214
58	0.4305595971
59	0.4292787875
60	0.4283121649
61	0.4274593054
62	0.4265958495
63	0.426099294
64	0.4257903498
65	0.4247018658
66	0.423679997
67	0.422952207
68	0.4226939374
69	0.4218732776
70	0.4211414199
71	0.4203216396
72	0.4194013393
73	0.4185773743
74	0.417782085
75	0.4171858487
76	0.4164365661
77	0.4158348694
78	0.4151241563
79	0.4144639558
80	0.4137853993
81	0.413208934
82	0.4124401993
83	0.4121436198
84	0.4116594781
85	0.4111734052
86	0.4104188504
87	0.4098533865
88	0.4094536685
89	0.4090649568
90	0.4084436388
91	0.4079477632
92	0.4074267199
93	0.4069029956
94	0.4064825755
95	0.4059903087
96	0.405557579
97	0.4052142573
98	0.4048503858
99	0.4044955249
100	0.4041572062
101	0.4036932815
102	0.4034200669
103	0.4029913599
104	0.4025405539
105	0.4021672718
106	0.4019185456
107	0.4014553019
108	0.4011662896
109	0.4007464898
110	0.4006472623
111	0.4002372267
112	0.3999561248
113	0.3998969303
114	0.3995899296
115	0.399326579
116	0.3987559198
117	0.3984634302
118	0.3981876924
119	0.3979189298
120	0.397565405
121	0.3973598926
122	0.3970660718
123	0.3967680404
124	0.3964124346
125	0.3961232514
126	0.3958824312
127	0.3956275795
128	0.3954653159
129	0.3953100201
130	0.3952204072
131	0.3948386732
132	0.3948140821
133	0.3946435734
134	0.3942356479
135	0.3939645765
136	0.3938607976
137	0.3935488344
138	0.3931115469
139	0.3929114077
140	0.3928196451
141	0.3926403832
142	0.3923795135
143	0.3923659302
144	0.3922238408
145	0.3920480523
146	0.3920019525
147	0.3916572725
148	0.3914444557
149	0.3912161084
150	0.3911567992
151	0.3909339655
152	0.3907591629
153	0.3904781776
154	0.3902081196
155	0.3899933385
156	0.3898443902
157	0.3897482924
158	0.3896700614
159	0.3896263745
160	0.3894686484
161	0.3894201477
162	0.38940297
163	0.3892765537
164	0.3891571675
165	0.3888678755
166	0.3886341643
167	0.3884732881
168	0.3883673734
169	0.3882152743
170	0.3879833199
171	0.3878006558
172	0.387800189
173	0.3876801929
174	0.3876705908
175	0.3874036074
176	0.3873754622
177	0.3873591464
178	0.3873043053
179	0.3871391202
180	0.386933491
181	0.3866917181
182	0.3864635435
183	0.3862606354
184	0.3862286807
185	0.3861306159
186	0.385878263
187	0.3858598498
188	0.3857404051
189	0.3855588639
190	0.3855122846
191	0.385456608
192	0.3852475544
193	0.3851183043
194	0.3849713628
195	0.3846665525
196	0.3845035423
197	0.3844704774
198	0.3844082432
199	0.3842855947
200	0.3841605893
201	0.3839514891
202	0.383809115
203	0.3837230824
204	0.3835066551
205	0.383385068
206	0.3833110876
207	0.3831472887
208	0.3830203716
209	0.382893684
210	0.382815311
211	0.3828153059
212	0.3827246508
213	0.3824727018
214	0.3823480895
215	0.382302846
216	0.3822969017
217	0.3822743606
218	0.3820359491
219	0.3820086586
220	0.3818788939
221	0.3817316952
222	0.3815952339
223	0.3815917389
224	0.3814536494
225	0.381243082
226	0.3810375783
227	0.380990154
228	0.3809672922
229	0.3808937431
230	0.3808889683
231	0.3808889681
232	0.3807558344
233	0.3807378215
234	0.3806194076
235	0.3804405539
236	0.3803798876
