iter	Passed	Remaining
780	18884	5295
781	18908	5271
782	18931	5246
783	18954	5222
784	18977	5197
785	19002	5173
786	19028	5149
787	19051	5125
788	19077	5101
789	19100	5077
790	19124	5053
791	19151	5029
792	19176	5005
793	19201	4981
794	19226	4957
795	19252	4934
796	19277	4910
797	19302	4886
798	19325	4861
799	19348	4837
800	19373	4813
801	19397	4788
802	19419	4764
803	19442	4739
804	19467	4715
805	19490	4691
806	19515	4667
807	19539	4643
808	19563	4618
809	19587	4594
810	19611	4570
811	19634	4546
812	19657	4521
813	19681	4497
814	19706	4473
815	19731	4449
816	19769	4428
817	19792	4403
818	19816	4379
819	19839	4354
820	19865	4331
821	19893	4307
822	19920	4284
823	19954	4262
824	20013	4245
825	20049	4223
826	20074	4199
827	20097	4174
828	20120	4150
829	20145	4126
830	20170	4102
831	20198	4078
832	20223	4054
833	20249	4030
834	20276	4006
835	20301	3982
836	20325	3958
837	20349	3933
838	20374	3909
839	20399	3885
840	20426	3861
841	20454	3838
842	20480	3814
843	20507	3790
844	20533	3766
845	20561	3742
846	20587	3718
847	20612	3694
848	20636	3670
849	20661	3646
850	20685	3621
851	20710	3597
852	20736	3573
853	20760	3549
854	20788	3525
855	20814	3501
856	20842	3477
857	20876	3455
858	20934	3436
859	20963	3412
860	20988	3388
861	21011	3363
862	21037	3339
863	21068	3316
864	21121	3296
865	21159	3274
866	21182	3249
867	21206	3224
868	21232	3200
869	21257	3176
870	21284	3152
871	21308	3127
872	21333	3103
873	21358	3079
874	21382	3054
875	21406	3030
876	21431	3005
877	21456	2981
878	21482	2957
879	21509	2933
880	21552	2911
881	21581	2887
882	21608	2863
883	21632	2838
884	21655	2814
885	21680	2789
886	21703	2764
887	21727	2740
888	21754	2716
889	21782	2692
890	21812	2668
891	21851	2645
892	21883	2622
893	21935	2600
894	21961	2576
895	21986	2551
896	22018	2528
897	22043	2503
898	22068	2479
899	22093	2454
900	22118	2430
901	22143	2405
902	22167	2381
903	22196	2357
904	22220	2332
905	22245	2308
906	22270	2283
907	22295	2258
908	22320	2234
909	22346	2210
910	22388	2187
911	22418	2163
912	22443	2138
913	22466	2113
914	22491	2089
915	22516	2064
916	22541	2040
917	22567	2015
918	22591	1991
919	22616	1966
920	22646	1942
921	22677	1918
922	22703	1894
923	22729	1869
924	22757	1845
925	22781	1820
926	22805	1795
927	22829	1771
928	22853	1746
929	22879	1722
930	22906	1697
931	22929	1672
932	22956	1648
933	22980	1623
934	23003	1599
935	23028	1574
936	23052	1549
937	23079	1525
938	23104	1500
939	23128	1476
940	23152	1451
941	23177	1427
942	23200	1402
943	23225	1377
944	23248	1353
945	23271	1328
946	23296	1303
947	23321	1279
948	23345	1254
949	23370	1230
950	23395	1205
951	23421	1180
952	23447	1156
953	23472	1131
954	23496	1107
955	23521	1082
956	23546	1057
957	23568	1033
958	23592	1008
959	23616	984
960	23639	959
961	23663	934
962	23686	910
963	23709	885
964	23733	860
965	23757	836
966	23780	811
967	23804	786
968	23828	762
969	23853	737
970	23878	713
971	23902	688
972	23926	663
973	23958	639
974	23983	614
975	24007	590
976	24030	565
977	24055	541
978	24079	516
979	24103	491
980	24127	467
981	24150	442
982	24175	418
983	24200	393
984	24226	368
985	24254	344
986	24310	320
987	24345	295
988	24369	271
989	24397	246
990	24422	221
991	24446	197
992	24471	172
993	24494	147
994	24517	123
995	24540	98
996	24563	73
997	24588	49
998	24614	24
999	24638	0
